OAXBTC,0.00005226
LRCBTC,0.00005347
SUBBTC,0.00003370
LENDBTC,0.00000493
ETHUSDT,450.79000000
ETCBTC,0.00252000
STORMETH,0.00004013
ONTBTC,0.00078710
AGIBTC,0.00001848
LTCBTC,0.01263900
WANETH,0.00590000
BCNBTC,0.00000049
ETHBTC,0.07106600
MCOBTC,0.00108200
SUBBTC,0.00003372
ELFBTC,0.00009796
ELFETH,0.00137786
AEBTC,0.00029980
AGIBTC,0.00001847
AGIETH,0.00026065
TRXUSDT,0.03778000
BTCUSDT,6346.02000000
REQETH,0.00017499
BNBBTC,0.00222050
NEOBTC,0.00522600
DATABTC,0.00001182
TRXUSDT,0.03777000
ETHUSDT,450.79000000
WANBTC,0.00042040
EOSUSDT,8.02500000
BNBUSDT,14.08160000
XMRBTC,0.02031600
EOSUSDT,8.02930000
BNBUSDT,14.08130000
BCCUSDT,732.87000000
TRXUSDT,0.03778000
LTCBTC,0.01263800
KMDBTC,0.00023870
XMRBTC,0.02033900
CDTETH,0.00006069
ETHBTC,0.07107500
TRXETH,0.00008385
TRXUSDT,0.03780000
BCCBTC,0.11575800
SUBBTC,0.00003380
SUBETH,0.00047476
TRXETH,0.00008374
MDABTC,0.00008092
ETHBTC,0.07103800
BCPTBTC,0.00002701
DASHBTC,0.03790100
XRPBTC,0.00007227
XLMBTC,0.00003192
CHATETH,0.00010572
QKCBTC,0.00001128
GASBTC,0.00170000
ICXBTC,0.00025570
ENJETH,0.00012677
WANBTC,0.00042010
IOTABTC,0.00016817
REQBTC,0.00001254
RCNBTC,0.00000760
ENJBTC,0.00000903
BTCUSDT,6346.03000000
MDABTC,0.00008082
GVTBTC,0.00140580
STORMETH,0.00004000
NEOBTC,0.00524000
IOTABTC,0.00016819
ETCBTC,0.00252100
BCCUSDT,733.81000000
NEOUSDT,33.20000000
STEEMBTC,0.00025520
STEEMETH,0.00360200
POABTC,0.00003201
VENUSDT,2.55400000
EOSUSDT,8.02780000
ETHBTC,0.07103500
BNBBTC,0.00221900
NEOBTC,0.00524100
MDABTC,0.00008058
MDAETH,0.00112100
NANOBTC,0.00039850
WTCBTC,0.00108890
MTLBTC,0.00021060
DASHBTC,0.03781700
ETHBTC,0.07104500
BCCBTC,0.11575500
ZRXBTC,0.00013790
NEOETH,0.07380000
CDTETH,0.00006070
NEOBNB,2.36200000
TNTBTC,0.00000712
GTOBTC,0.00002375
GTOBNB,0.01068000
BTCUSDT,6348.42000000
ELFETH,0.00138133
WANBTC,0.00042020
WPRBTC,0.00000730
LTCBTC,0.01263000
NEOBTC,0.00524800
BCCBTC,0.11575600
BCDBTC,0.00218200
XLMBTC,0.00003193
KEYBTC,0.00000316
KEYETH,0.00004452
XLMBTC,0.00003196
QKCBTC,0.00001128
NEOETH,0.07370300
GTOBTC,0.00002374
STORMBTC,0.00000285
WANETH,0.00594700
LOOMBTC,0.00002806
BTCUSDT,6348.38000000
VENBTC,0.00040276
NEOUSDT,33.22100000
GTOETH,0.00033270
BTCUSDT,6342.04000000
BQXBTC,0.00023334
GVTBTC,0.00140590
MANAETH,0.00019383
XLMUSDT,0.20256000
STORMETH,0.00004002
XEMBTC,0.00002824
EOSUSDT,8.02790000
SCBTC,0.00000170
NEOBTC,0.00524200
TRXBTC,0.00000596
TRXETH,0.00008375
BCDBTC,0.00218700
NEOUSDT,33.28300000
REPBTC,0.00543600
AGIETH,0.00026063
POABTC,0.00003203
ETHBTC,0.07107400
EOSBTC,0.00126550
REQBTC,0.00001250
REQETH,0.00017580
BCDBTC,0.00219600
WANBTC,0.00042150
WPRETH,0.00010318
BQXBTC,0.00023351
NAVBTC,0.00008690
QKCBTC,0.00001125
QKCETH,0.00015850
BNBBTC,0.00222100
CMTBTC,0.00002628
ZILBTC,0.00001091
EOSBTC,0.00126450
POEBTC,0.00000368
STORMETH,0.00004001
BCCUSDT,733.80000000
ETHBTC,0.07103400
IOTABTC,0.00016820
ASTBTC,0.00002353
ADABTC,0.00002242
CMTBTC,0.00002637
BLZBTC,0.00004872
NEOBTC,0.00524600
EOSBTC,0.00126540
ELFBTC,0.00009813
THETABTC,0.00002459
ETHBTC,0.07103200
BNBUSDT,14.11010000
ADAUSDT,0.14234000
REQBTC,0.00001250
ARKBTC,0.00022150
ELFBTC,0.00009796
NEOETH,0.07380400
IOTABTC,0.00016819
POEBTC,0.00000367
NASBTC,0.00078790
NASETH,0.01108700
NEOETH,0.07380000
POABTC,0.00003203
ETCUSDT,15.98490000
ETHBTC,0.07103100
